Epoch MaxEpoch Correct Samples
1 150 2309 10000
2 150 2583 10000
3 150 2861 10000
4 150 2898 10000
5 150 2983 10000
6 150 3086 10000
7 150 3137 10000
8 150 3191 10000
9 150 3194 10000
10 150 3278 10000
11 150 3338 10000
12 150 3376 10000
13 150 3337 10000
14 150 3403 10000
15 150 3394 10000
16 150 3490 10000
17 150 3520 10000
18 150 3571 10000
19 150 3592 10000
20 150 3571 10000
21 150 3517 10000
22 150 3607 10000
23 150 3716 10000
24 150 3679 10000
25 150 3703 10000
26 150 3715 10000
27 150 3699 10000
28 150 3750 10000
29 150 3749 10000
30 150 3806 10000
31 150 3780 10000
32 150 3753 10000
33 150 3848 10000
34 150 3815 10000
35 150 3835 10000
36 150 3804 10000
37 150 3853 10000
38 150 3857 10000
39 150 3901 10000
40 150 3917 10000
41 150 3865 10000
42 150 3878 10000
43 150 3847 10000
44 150 3945 10000
45 150 3980 10000
46 150 3987 10000
47 150 3920 10000
48 150 3955 10000
49 150 3953 10000
50 150 3974 10000
51 150 3980 10000
52 150 3975 10000
53 150 3988 10000
54 150 3922 10000
55 150 3968 10000
56 150 3968 10000
57 150 4010 10000
58 150 3957 10000
59 150 3971 10000
60 150 3995 10000
61 150 3978 10000
62 150 3963 10000
63 150 4029 10000
64 150 4051 10000
65 150 4023 10000
66 150 4036 10000
67 150 4050 10000
68 150 4082 10000
69 150 4042 10000
70 150 4083 10000
71 150 4045 10000
72 150 4130 10000
73 150 4001 10000
74 150 4112 10000
75 150 4049 10000
76 150 4102 10000
77 150 3947 10000
78 150 4061 10000
79 150 4097 10000
80 150 4097 10000
81 150 4134 10000
82 150 4119 10000
83 150 4145 10000
84 150 4146 10000
85 150 4068 10000
86 150 4087 10000
87 150 4062 10000
88 150 4080 10000
89 150 4091 10000
90 150 4069 10000
91 150 4125 10000
92 150 4136 10000
93 150 4147 10000
94 150 4131 10000
95 150 4148 10000
96 150 4142 10000
97 150 4163 10000
98 150 4149 10000
99 150 4143 10000
100 150 4090 10000
101 150 4089 10000
102 150 4117 10000
103 150 4151 10000
104 150 4145 10000
105 150 4108 10000
106 150 4177 10000
107 150 4128 10000
108 150 4196 10000
109 150 4124 10000
110 150 4203 10000
111 150 4196 10000
112 150 4164 10000
113 150 4180 10000
114 150 4201 10000
115 150 4151 10000
116 150 4175 10000
117 150 4184 10000
118 150 4182 10000
119 150 4190 10000
120 150 4157 10000
121 150 4209 10000
122 150 4196 10000
123 150 4192 10000
124 150 4211 10000
125 150 4228 10000
126 150 4167 10000
127 150 4204 10000
128 150 4153 10000
129 150 4194 10000
130 150 4199 10000
131 150 4140 10000
132 150 4229 10000
133 150 4187 10000
134 150 4166 10000
135 150 4209 10000
136 150 4215 10000
137 150 4161 10000
138 150 4254 10000
139 150 4164 10000
140 150 4202 10000
141 150 4196 10000
142 150 4155 10000
143 150 4225 10000
144 150 4252 10000
145 150 4170 10000
146 150 4203 10000
147 150 4208 10000
148 150 4179 10000
149 150 4191 10000
150 150 4248 10000
