Epoch MaxEpoch AvgCost EpochAcc Elapsed
1 150 3.17 18.466 172.563
2 150 2.973 24.128 328.631
3 150 2.9147 26.462 481.306
4 150 2.8762 27.896 632.756
5 150 2.8452 29.306 784.094
6 150 2.8216 30.262 935.477
7 150 2.7994 30.812 1087.284
8 150 2.7804 31.686 1239.501
9 150 2.7642 32.338 1391.386
10 150 2.7469 32.938 1543.442
11 150 2.7333 33.594 1697.098
12 150 2.7192 34.044 1849.365
13 150 2.7068 34.424 2001.662
14 150 2.6939 34.98 2153.987
15 150 2.682 35.428 2306.265
16 150 2.6715 35.746 2458.384
17 150 2.66 35.908 2610.741
18 150 2.6508 36.642 2763.213
19 150 2.642 36.776 2915.543
20 150 2.632 36.942 3068.496
21 150 2.6245 37.32 3220.786
22 150 2.614 37.536 3373.454
23 150 2.6074 37.964 3527.091
24 150 2.5992 38.234 3681.704
25 150 2.5913 38.176 3834.684
26 150 2.5846 38.598 3989.746
27 150 2.5791 38.714 4141.974
28 150 2.5714 38.844 4294.344
29 150 2.5643 39.378 4446.411
30 150 2.5574 39.382 4599.137
31 150 2.5514 39.73 4751.863
32 150 2.5443 39.956 4904.654
33 150 2.5411 39.87 5057.292
34 150 2.5334 40.192 5210.216
35 150 2.529 40.38 5363.351
36 150 2.5216 40.51 5516.681
37 150 2.5175 40.774 5670.124
38 150 2.511 41.018 5823.252
39 150 2.5071 40.968 5975.473
40 150 2.4987 41.414 6127.687
41 150 2.4943 41.322 6282.366
42 150 2.4885 41.762 6458.993
43 150 2.4842 41.918 6641.112
44 150 2.4787 41.984 6835.224
45 150 2.4728 42.252 7009.841
46 150 2.4686 42.462 7175.889
47 150 2.4637 42.346 7339.666
48 150 2.4571 42.792 7560.444
49 150 2.4532 42.792 7744.119
50 150 2.4478 42.704 7936.29
51 150 2.4444 42.97 8156.364
52 150 2.4393 43.162 8338.746
53 150 2.435 43.176 8532.496
54 150 2.4281 43.576 8749.283
55 150 2.4255 43.738 8941.753
56 150 2.4242 43.77 9164.116
57 150 2.418 43.746 9372.872
58 150 2.4118 43.978 9592.571
59 150 2.4084 44.14 9806.205
60 150 2.4042 44.206 10021.182
61 150 2.3986 44.492 10223.29
62 150 2.3945 44.578 10447.214
63 150 2.3884 44.744 10667.266
64 150 2.3882 44.68 10889.79
65 150 2.3824 44.904 11087.753
66 150 2.3808 45.094 11258.385
67 150 2.3753 45.056 11426.816
68 150 2.3715 45.318 11599.015
69 150 2.3636 45.464 11772.268
70 150 2.3617 45.524 11948.677
71 150 2.3586 45.706 12118.034
72 150 2.3571 45.678 12282.532
73 150 2.3515 45.886 12469.589
74 150 2.3482 45.942 12724.248
75 150 2.3436 46.204 12891.14
76 150 2.3399 46.154 13067.117
77 150 2.3379 46.302 13264.005
78 150 2.3317 46.388 13463.571
79 150 2.3287 46.394 13621.06
80 150 2.3251 46.752 13776.91
81 150 2.323 46.776 13930.866
82 150 2.3186 46.946 14087.112
83 150 2.3154 46.702 14242.068
84 150 2.3105 46.986 14399.652
85 150 2.3081 47.228 14557.293
86 150 2.3064 47.254 14718.808
87 150 2.2994 47.424 14879.495
88 150 2.2976 47.52 15042.747
89 150 2.2941 47.646 15233.034
90 150 2.2917 47.654 15458.452
91 150 2.2858 47.904 15685.916
92 150 2.2838 47.956 15839.603
93 150 2.282 47.856 15993.075
94 150 2.278 47.976 16146.393
95 150 2.2728 48.246 16300.384
96 150 2.2717 48.536 16455.292
97 150 2.2689 48.398 16609.613
98 150 2.2647 48.392 16764.14
99 150 2.2626 48.312 16920.153
100 150 2.2577 48.72 17075.578
101 150 2.2545 48.69 17231.101
102 150 2.2535 48.898 17386.003
103 150 2.2506 49.014 17547.985
104 150 2.2448 48.96 17702.65
105 150 2.2427 49.018 17858.715
106 150 2.2406 49.338 18101.346
107 150 2.2361 49.3 18344.989
108 150 2.2338 49.43 18556.275
109 150 2.2313 49.328 18797.224
110 150 2.2286 49.594 18976.187
111 150 2.2243 49.512 19098.517
112 150 2.2227 49.774 19232.591
113 150 2.2178 49.872 19351.995
114 150 2.2184 49.79 19472.088
115 150 2.2154 49.888 19591.261
116 150 2.2084 50.144 19715.04
117 150 2.2081 49.97 19870.065
118 150 2.2055 50.182 20023.036
119 150 2.2005 50.262 20183.677
120 150 2.199 50.382 20349.543
121 150 2.1949 50.494 20520.157
122 150 2.1948 50.48 20687.808
123 150 2.1913 50.706 20815.658
124 150 2.1879 50.738 20950.286
125 150 2.1835 50.708 21077.907
126 150 2.1827 50.822 21206.468
127 150 2.1769 50.962 21330.065
128 150 2.1769 50.876 21458.614
129 150 2.1734 51.222 21583.498
130 150 2.1696 51.284 21713.257
131 150 2.165 51.408 21840.929
132 150 2.1623 51.418 21976.446
133 150 2.1643 51.424 22105.835
134 150 2.1592 51.608 22250.242
135 150 2.1565 51.86 22384.419
136 150 2.1534 51.906 22514.031
137 150 2.1521 51.874 22639.396
138 150 2.1481 51.826 22764.54
139 150 2.1449 52.066 22892.266
140 150 2.1417 51.792 23016.706
141 150 2.1417 52.09 23152.107
142 150 2.135 52.336 23275.517
143 150 2.1341 52.182 23409.888
144 150 2.1345 52.358 23534.378
145 150 2.1282 52.43 23663.638
146 150 2.1287 52.406 23793.258
147 150 2.1241 52.602 23937.815
148 150 2.1189 52.774 24063.463
149 150 2.1202 52.796 24197.402
150 150 2.1194 52.702 24327.327
